Name,Select
Kotlin,🔥 많이 써본 스택
Java,🔥 많이 써본 스택
XML,🔥 많이 써본 스택
ViewBinding,🔥 많이 써본 스택
Jetpack Compose,🔥 많이 써본 스택
Coroutine,🔥 많이 써본 스택
Flow,🛠️ 꽤 써본 스택
Retrofit2,🔥 많이 써본 스택
Hilt,🛠️ 꽤 써본 스택
Jetpack,🛠️ 꽤 써본 스택
Data Binding,🔥 많이 써본 스택
Navigation,🛠️ 꽤 써본 스택
Room,🔥 많이 써본 스택
LiveData,🔥 많이 써본 스택
Paging,🛠️ 꽤 써본 스택
Gson,🔥 많이 써본 스택
Glide,🔥 많이 써본 스택
Coil,🌱 써본 스택
Ktor,🌱 써본 스택
Kotlin Multiplatform,🌱 써본 스택
Compose Multiplatform,🌱 써본 스택
